Beer Type,Beer Type Description,Beer Style,Style Description,IBU,ABV Range,SRM,Common Malts Used
Pale Lager,"A very pale-to-golden-colored beer with a well attenuated body and a varying degree of hop bitterness.",American Light Lager,"American Light Lager is a pale, highly carbonated, and very light-bodied beer with minimal malt and hop character. It is designed to be highly refreshing and easy to drink, often brewed with adjuncts like rice or corn to lighten the flavor and body.",8-12,2.8-4.2%,2-3,"Pale Malt, Rice, Corn"
Pale Lager,"A very pale-to-golden-colored beer with a well attenuated body and a varying degree of hop bitterness.",American Lager,"American Lager is a pale, highly carbonated, and light-bodied beer with a clean fermentation profile. It has a mild malt sweetness and low hop bitterness, making it highly drinkable.",8-18,4.2-5.3%,2-4,"Pale Malt, Rice, Corn"
Pale Lager,"A very pale-to-golden-colored beer with a well attenuated body and a varying degree of hop bitterness.",International Pale Lager,"International Pale Lager is a highly carbonated, light-bodied beer with a clean malt character and a slightly more pronounced bitterness than standard pale lagers. It is designed for broad global appeal.",18-25,4.5-6.0%,2-6,"Pale Malt, Pilsner Malt"
Pale Lager,"A very pale-to-golden-colored beer with a well attenuated body and a varying degree of hop bitterness.",Czech Pale Lager,"Czech Pale Lager is a well-balanced, moderately bitter lager with a rich malt character and a crisp, refreshing finish. It has a fuller body than many other pale lagers.",20-35,3.0-4.1%,3-6,"Pilsner Malt, Saaz Hops"
Pale Lager,"A very pale-to-golden-colored beer with a well attenuated body and a varying degree of hop bitterness.",Munich Helles,"Munich Helles is a malt-forward, golden lager with a smooth, bready malt flavor and a subtle hop balance. It is soft on the palate and highly drinkable.",16-22,4.7-5.4%,3-5,"Pilsner Malt, Munich Malt"
Pale Lager,"A very pale-to-golden-colored beer with a well attenuated body and a varying degree of hop bitterness.",Festbier,"Festbier is a golden, smooth, and malt-balanced lager brewed for Oktoberfest celebrations. It has a slightly stronger body and more pronounced malt sweetness than standard lagers.",18-25,5.8-6.3%,4-7,"Pilsner Malt, Munich Malt, Vienna Malt"
Pale Lager,"A very pale-to-golden-colored beer with a well attenuated body and a varying degree of hop bitterness.",German Leichtbier,"German Leichtbier is a low-alcohol pale lager with a light body and mild malt flavor. It is designed to be highly refreshing and easy to drink, often with fewer calories than standard lagers.",15-28,2.5-3.6%,2-4,"Pilsner Malt"
Pale Lager,"A very pale-to-golden-colored beer with a well attenuated body and a varying degree of hop bitterness.",German Helles,"German Helles is a pale, malty lager with a smooth body and mild hop character. It is well-balanced, with a soft malt sweetness and a crisp, clean finish.",16-22,4.8-5.6%,3-5,"Pilsner Malt, Munich Malt"
Pale Lager,"A very pale-to-golden-colored beer with a well attenuated body and a varying degree of hop bitterness.",Pale Kellerbier,"Pale Kellerbier is an unfiltered, naturally carbonated pale lager with a slightly cloudy appearance. It has a rich malt character, moderate hop bitterness, and a fresh, bready aroma.",20-35,4.7-5.4%,3-6,"Pilsner Malt, Munich Malt"
Wheat Beer,"A beer brewed with a significant proportion of wheat, known for its light body, smooth mouthfeel, and often hazy appearance.",American Wheat Beer,"American Wheat Beer is a refreshing and crisp beer with a clean fermentation profile. It typically has a moderate wheat flavor, low bitterness, and minimal clove or banana notes compared to traditional wheat beers.",15-30,4.0-5.5%,3-6,"Wheat Malt, Pale Malt"
Wheat Beer,"A beer brewed with a significant proportion of wheat, known for its light body, smooth mouthfeel, and often hazy appearance.",Weissbier,"Weissbier, also known as Hefeweizen, is a traditional German wheat beer with prominent banana and clove aromas from the yeast. It has a cloudy appearance and a soft, creamy mouthfeel.",10-15,4.3-5.6%,3-6,"Wheat Malt, Pilsner Malt"
Wheat Beer,"A beer brewed with a significant proportion of wheat, known for its light body, smooth mouthfeel, and often hazy appearance.",Dunkles Weissbier,"Dunkles Weissbier is a darker variation of Weissbier, brewed with roasted malts that give it caramel, chocolate, and toasted bread flavors alongside the classic banana and clove yeast profile.",10-18,4.3-5.6%,10-20,"Wheat Malt, Munich Malt, Caramel Malt"
Wheat Beer,"A beer brewed with a significant proportion of wheat, known for its light body, smooth mouthfeel, and often hazy appearance.",Weizenbock,"Weizenbock is a strong, malty wheat beer that combines the banana and clove yeast character of Weissbier with the rich maltiness of a Bock. It has a full-bodied, warming finish.",15-30,6.5-9.0%,6-25,"Wheat Malt, Munich Malt, Caramel Malt"
Wheat Beer,"A beer brewed with a significant proportion of wheat, known for its light body, smooth mouthfeel, and often hazy appearance.",Berliner Weisse,"Berliner Weisse is a highly carbonated, tart wheat beer with a light, dry body. It is often served with flavored syrups to balance its sharp acidity.",3-8,2.8-3.8%,2-4,"Wheat Malt, Pilsner Malt"
Wheat Beer,"A beer brewed with a significant proportion of wheat, known for its light body, smooth mouthfeel, and often hazy appearance.",Lambic,"Lambic is a spontaneously fermented Belgian wheat beer known for its funky, sour, and complex character. It often has earthy, barnyard, and fruity notes.",0-10,5.0-6.5%,3-7,"Wheat Malt, Pilsner Malt"
Wheat Beer,"A beer brewed with a significant proportion of wheat, known for its light body, smooth mouthfeel, and often hazy appearance.",Gueuze,"Gueuze is a blend of young and aged Lambics, refermented in the bottle to create a highly carbonated, complex, and tart beer with fruity and funky characteristics.",0-10,5.0-8.0%,3-7,"Wheat Malt, Pilsner Malt"
Wheat Beer,"A beer brewed with a significant proportion of wheat, known for its light body, smooth mouthfeel, and often hazy appearance.",Fruit Lambic,"Fruit Lambic is a traditional Lambic beer that has been aged with fruits such as cherries (Kriek) or raspberries (Framboise), adding sweet, tart, and complex fruit flavors.",0-10,5.0-7.0%,3-10,"Wheat Malt, Pilsner Malt"
Wheat Beer,"A beer brewed with a significant proportion of wheat, known for its light body, smooth mouthfeel, and often hazy appearance.",Witbier,"Witbier is a Belgian-style wheat beer brewed with coriander and orange peel, giving it a citrusy, slightly spicy aroma. It is light-bodied, hazy, and highly refreshing.",10-20,4.5-5.5%,2-4,"Wheat Malt, Pilsner Malt, Oats"
